number_of_rentals,season,month,day,weekday,hour,is_holiday,is_weekend,temp_C,perceived_temp_C,humidity_percent,wind_speed_kmh,weather_code
568,3,1,5,0,10,0,0,9.0,8.0,84.5,6.5,3
584,3,1,5,0,11,0,0,9.0,7.5,90.5,10.0,3
762,3,1,5,0,12,0,0,10.0,8.0,85.0,11.0,3
873,3,1,5,0,13,0,0,10.0,8.5,82.0,10.0,3
672,3,1,5,0,14,0,0,10.0,9.0,82.0,9.0,3
807,3,1,5,0,15,0,0,10.0,8.5,79.0,10.0,3
1192,3,1,5,0,16,0,0,10.0,8.5,73.5,13.0,3
2761,3,1,5,0,17,0,0,9.5,7.5,73.5,12.0,3
2389,3,1,5,0,18,0,0,9.5,7.5,69.0,14.0,3
1274,3,1,5,0,19,0,0,9.0,6.5,71.0,14.0,3
696,3,1,5,0,20,0,0,9.0,7.0,71.0,14.0,3
411,3,1,5,0,21,0,0,9.0,7.0,71.0,11.0,3
324,3,1,5,0,22,0,0,9.0,7.5,71.0,10.0,4
192,3,1,5,0,23,0,0,8.5,7.5,73.5,8.0,4
91,3,1,6,1,0,0,0,8.0,6.5,76.0,8.0,4
73,3,1,6,1,1,0,0,8.0,6.5,76.0,8.0,4
33,3,1,6,1,2,0,0,8.0,6.0,76.0,11.0,4
19,3,1,6,1,3,0,0,8.0,5.5,76.0,14.0,4
40,3,1,6,1,4,0,0,8.5,6.5,73.5,11.0,4
74,3,1,6,1,5,0,0,8.0,5.5,82.0,14.0,4
530,3,1,6,1,6,0,0,8.0,5.0,84.5,15.0,3
1715,3,1,6,1,7,0,0,9.0,7.0,82.0,13.0,3
3534,3,1,6,1,8,0,0,9.0,7.0,82.0,12.0,7
1573,3,1,6,1,9,0,0,9.0,6.5,87.0,16.0,7
635,3,1,6,1,10,0,0,10.0,7.5,88.0,19.5,3
550,3,1,6,1,11,0,0,10.0,8.0,88.0,18.0,3
395,3,1,6,1,12,0,0,11.0,11.0,85.0,19.0,7
426,3,1,6,1,13,0,0,9.5,6.0,84.5,27.5,3
579,3,1,6,1,14,0,0,9.0,6.0,71.0,26.0,3
718,3,1,6,1,15,0,0,8.0,4.5,71.0,23.0,2
1184,3,1,6,1,16,0,0,8.0,5.0,68.5,19.5,2
2662,3,1,6,1,17,0,0,7.5,4.0,71.0,22.0,1
2610,3,1,6,1,18,0,0,7.0,4.0,71.0,17.5,1
1402,3,1,6,1,19,0,0,6.0,3.0,76.0,15.0,1
720,3,1,6,1,20,0,0,5.5,2.5,78.5,15.0,1
494,3,1,6,1,21,0,0,5.0,2.0,81.0,15.0,1
344,3,1,6,1,22,0,0,4.5,1.5,81.0,13.0,1
212,3,1,6,1,23,0,0,4.0,1.0,84.0,12.0,1
102,3,1,7,2,0,0,0,4.0,1.0,81.0,12.0,1
60,3,1,7,2,1,0,0,4.0,1.0,81.0,11.0,1
33,3,1,7,2,2,0,0,4.0,1.5,81.0,10.0,1
26,3,1,7,2,3,0,0,3.5,1.0,84.0,9.0,2
33,3,1,7,2,4,0,0,4.0,1.5,81.0,10.0,2
80,3,1,7,2,5,0,0,4.0,2.0,87.0,9.0,1
526,3,1,7,2,6,0,0,5.0,2.5,81.0,10.0,1
1757,3,1,7,2,7,0,0,5.5,2.5,81.0,13.0,1
3618,3,1,7,2,8,0,0,6.5,3.5,81.0,15.0,2
1714,3,1,7,2,9,0,0,8.0,5.0,76.0,19.0,3
763,3,1,7,2,10,0,0,8.0,5.0,82.0,19.5,2
690,3,1,7,2,11,0,0,9.0,6.0,76.0,21.0,2
913,3,1,7,2,12,0,0,9.0,5.5,76.0,27.0,2
982,3,1,7,2,13,0,0,9.5,6.0,71.5,28.0,2
783,3,1,7,2,14,0,0,10.0,6.5,62.0,28.5,2
794,3,1,7,2,15,0,0,9.0,6.0,68.5,25.0,2
1171,3,1,7,2,16,0,0,9.0,6.0,76.0,25.0,3
2647,3,1,7,2,17,0,0,9.5,6.5,71.5,24.0,3
2579,3,1,7,2,18,0,0,10.0,7.0,71.0,30.0,3
657,3,1,7,2,20,0,0,10.0,6.5,79.0,30.5,3
516,3,1,7,2,21,0,0,10.0,7.0,82.0,27.0,7
414,3,1,7,2,22,0,0,10.0,7.0,82.0,27.0,7
206,3,1,7,2,23,0,0,10.0,7.0,85.0,24.0,7
123,3,1,8,3,0,0,0,11.0,11.0,82.0,26.0,4
56,3,1,8,3,1,0,0,11.5,11.5,85.0,24.0,3
51,3,1,8,3,2,0,0,12.0,12.0,82.0,25.0,3
33,3,1,8,3,3,0,0,12.0,12.0,85.0,22.0,3
32,3,1,8,3,4,0,0,12.0,12.0,88.0,20.5,7
87,3,1,8,3,5,0,0,12.0,12.0,80.0,20.5,7
511,3,1,8,3,6,0,0,11.5,11.5,74.5,17.0,3
982,3,1,8,3,7,0,0,10.5,9.5,82.5,17.0,7
1228,3,1,8,3,8,0,0,9.5,7.5,87.5,14.0,7
573,3,1,8,3,9,0,0,9.0,7.0,87.0,13.0,7
185,3,1,8,3,10,0,0,9.0,7.0,87.0,14.0,7
193,3,1,8,3,11,0,0,9.0,6.0,82.0,20.5,7
522,3,1,8,3,12,0,0,9.0,6.5,84.5,17.0,2
672,3,1,8,3,13,0,0,9.0,5.5,79.0,27.0,2
761,3,1,8,3,14,0,0,10.0,7.0,71.0,22.0,2
781,3,1,8,3,15,0,0,9.0,6.0,71.0,22.0,2
1212,3,1,8,3,16,0,0,9.0,6.0,71.0,19.5,2
2351,3,1,8,3,17,0,0,9.0,6.0,76.0,22.0,2
2110,3,1,8,3,18,0,0,8.5,5.5,73.5,22.5,1
1239,3,1,8,3,19,0,0,8.0,5.0,73.5,20.5,1
752,3,1,8,3,20,0,0,8.0,5.0,76.0,17.0,1
457,3,1,8,3,21,0,0,8.0,4.5,76.0,20.5,1
423,3,1,8,3,22,0,0,8.5,5.5,73.5,21.0,1
267,3,1,8,3,23,0,0,9.0,5.5,76.0,27.0,2
147,3,1,9,4,0,0,0,10.0,7.0,71.0,28.0,2
60,3,1,9,4,1,0,0,10.0,7.0,73.5,30.0,7
65,3,1,9,4,2,0,0,10.0,6.5,79.0,29.5,7
42,3,1,9,4,3,0,0,11.0,11.0,79.5,29.0,3
47,3,1,9,4,4,0,0,11.0,11.0,85.0,33.0,3
85,3,1,9,4,5,0,0,11.5,11.5,85.0,33.0,3
441,3,1,9,4,6,0,0,12.0,12.0,82.0,32.5,3
1593,3,1,9,4,7,0,0,12.0,12.0,82.0,31.5,3
3505,3,1,9,4,8,0,0,12.0,12.0,79.5,25.0,2
1768,3,1,9,4,9,0,0,12.0,12.0,74.5,30.0,2
799,3,1,9,4,10,0,0,12.5,12.5,69.5,29.5,1
806,3,1,9,4,11,0,0,13.0,13.0,67.0,28.0,1
1052,3,1,9,4,12,0,0,13.0,13.0,67.0,26.0,1
1078,3,1,9,4,13,0,0,13.0,13.0,63.0,30.0,1
976,3,1,9,4,14,0,0,13.0,13.0,63.0,26.0,2
912,3,1,9,4,15,0,0,13.5,13.5,67.5,33.5,7
1229,3,1,9,4,16,0,0,13.0,13.0,79.5,37.0,7
2409,3,1,9,4,17,0,0,13.5,13.5,85.0,35.0,7
1983,3,1,9,4,18,0,0,15.0,15.0,82.0,36.0,7
1094,3,1,9,4,19,0,0,15.5,15.5,77.0,41.0,7
686,3,1,9,4,20,0,0,15.0,15.0,72.0,44.0,3
443,3,1,9,4,21,0,0,15.0,15.0,68.0,41.0,3
464,3,1,9,4,22,0,0,15.0,15.0,68.0,40.0,3
420,3,1,9,4,23,0,0,14.0,14.0,77.0,41.5,4
392,3,1,10,5,0,0,1,14.0,14.0,77.0,39.0,4
277,3,1,10,5,1,0,1,14.0,14.0,77.0,40.0,4
189,3,1,10,5,2,0,1,14.0,14.0,72.0,40.5,3
153,3,1,10,5,3,0,1,13.0,13.0,77.0,41.0,3
90,3,1,10,5,4,0,1,13.0,13.0,77.0,36.0,3
52,3,1,10,5,5,0,1,13.0,13.0,77.0,35.0,3
69,3,1,10,5,6,0,1,13.0,13.0,82.0,35.0,7
143,3,1,10,5,7,0,1,13.0,13.0,79.5,35.0,3
321,3,1,10,5,8,0,1,14.0,14.0,74.5,40.0,3
619,3,1,10,5,9,0,1,14.0,14.0,77.0,48.0,3
757,3,1,10,5,10,0,1,14.0,14.0,74.5,41.0,7
800,3,1,10,5,11,0,1,11.5,11.5,67.5,42.5,3
1191,3,1,10,5,12,0,1,11.5,11.5,58.0,41.5,2
1395,3,1,10,5,13,0,1,10.5,8.5,54.0,38.0,3
1358,3,1,10,5,14,0,1,9.0,4.5,54.0,42.5,3
1436,3,1,10,5,15,0,1,9.0,5.0,48.0,35.0,2
1270,3,1,10,5,16,0,1,8.0,4.0,51.5,27.0,1
1054,3,1,10,5,17,0,1,8.0,4.0,51.5,29.0,2
849,3,1,10,5,18,0,1,7.0,3.0,55.0,26.0,1
720,3,1,10,5,19,0,1,6.0,2.0,57.0,26.0,1
556,3,1,10,5,20,0,1,6.0,2.0,57.0,25.0,1
349,3,1,10,5,21,0,1,6.0,2.0,57.0,21.0,1
335,3,1,10,5,22,0,1,5.0,1.0,66.0,20.0,1
334,3,1,10,5,23,0,1,5.0,1.0,66.0,19.5,1
360,3,1,11,6,0,0,1,4.5,0.5,72.5,22.0,1
255,3,1,11,6,1,0,1,4.0,-0.5,75.0,22.0,1
198,3,1,11,6,2,0,1,4.0,-0.5,75.0,23.0,1
135,3,1,11,6,3,0,1,4.0,-1.0,75.0,27.0,2
74,3,1,11,6,4,0,1,4.0,-1.0,72.5,28.0,1
57,3,1,11,6,5,0,1,4.0,-1.0,70.0,27.0,1
67,3,1,11,6,6,0,1,4.5,0.0,68.0,24.0,1
93,3,1,11,6,7,0,1,5.0,1.0,66.0,24.0,1
241,3,1,11,6,8,0,1,5.0,0.0,66.0,29.5,1
538,3,1,11,6,9,0,1,5.5,0.5,63.5,29.0,1
922,3,1,11,6,10,0,1,6.5,2.0,61.0,30.0,1
1248,3,1,11,6,11,0,1,7.5,3.5,59.0,27.0,1
1555,3,1,11,6,12,0,1,8.5,4.5,55.5,27.0,1
1813,3,1,11,6,13,0,1,9.0,5.0,56.0,28.0,2
1639,3,1,11,6,14,0,1,9.0,5.0,60.0,28.0,2
1464,3,1,11,6,15,0,1,8.5,5.0,64.0,26.0,3
1097,3,1,11,6,16,0,1,8.0,4.5,66.0,23.0,3
827,3,1,11,6,17,0,1,8.0,5.0,71.0,20.5,7
519,3,1,11,6,18,0,1,8.0,4.0,73.5,25.0,7
493,3,1,11,6,19,0,1,8.0,4.0,73.5,24.0,3
315,3,1,11,6,20,0,1,8.0,4.5,71.0,26.0,7
260,3,1,11,6,21,0,1,8.0,4.0,71.0,30.0,7
237,3,1,11,6,22,0,1,9.0,5.0,66.0,37.0,7
168,3,1,11,6,23,0,1,9.0,5.0,71.0,30.5,3
117,3,1,12,0,0,0,0,9.0,5.0,68.5,29.0,2
45,3,1,12,0,1,0,0,10.0,6.0,60.0,34.0,4
29,3,1,12,0,2,0,0,10.0,7.0,64.5,30.0,4
36,3,1,12,0,3,0,0,10.0,6.5,67.0,30.5,3
26,3,1,12,0,4,0,0,10.0,6.5,67.0,33.5,3
86,3,1,12,0,5,0,0,10.0,6.0,67.0,35.0,3
433,3,1,12,0,6,0,0,10.0,6.0,73.5,31.0,7
1541,3,1,12,0,7,0,0,10.0,7.0,76.0,30.0,7
3418,3,1,12,0,8,0,0,10.0,6.0,76.0,31.0,3
1832,3,1,12,0,9,0,0,11.5,11.5,67.0,32.5,3
723,3,1,12,0,10,0,0,12.0,12.0,67.0,33.0,3
654,3,1,12,0,11,0,0,12.0,12.0,74.5,39.0,3
700,3,1,12,0,12,0,0,12.0,12.0,79.5,29.5,3
631,3,1,12,0,13,0,0,12.0,12.0,79.5,29.5,3
520,3,1,12,0,14,0,0,12.5,12.5,77.0,33.0,7
374,3,1,12,0,15,0,0,12.0,12.0,82.0,25.0,7
669,3,1,12,0,16,0,0,12.0,12.0,82.0,22.5,7
1510,3,1,12,0,17,0,0,11.5,11.5,88.0,22.0,7
1186,3,1,12,0,18,0,0,11.0,11.0,94.0,22.0,7
1136,3,1,12,0,19,0,0,11.5,11.5,85.0,22.0,7
753,3,1,12,0,20,0,0,12.0,12.0,82.0,20.0,4
510,3,1,12,0,21,0,0,12.0,12.0,85.0,18.5,7
184,3,1,12,0,22,0,0,12.0,12.0,88.0,21.0,7
86,3,1,12,0,23,0,0,12.0,12.0,88.0,23.0,7
64,3,1,13,1,0,0,0,12.0,12.0,88.0,25.0,7
29,3,1,13,1,1,0,0,12.0,12.0,88.0,30.0,7
21,3,1,13,1,2,0,0,11.5,11.5,88.0,24.5,7
13,3,1,13,1,3,0,0,11.0,11.0,85.0,19.0,7
33,3,1,13,1,4,0,0,11.0,11.0,82.0,21.0,7
113,3,1,13,1,5,0,0,10.5,9.0,79.5,21.0,7
600,3,1,13,1,6,0,0,10.0,7.5,82.0,20.5,2
1584,3,1,13,1,7,0,0,9.5,6.5,79.0,21.0,7
3960,3,1,13,1,8,0,0,9.0,6.5,71.0,16.0,2
2090,3,1,13,1,9,0,0,9.0,6.0,71.0,18.0,2
960,3,1,13,1,10,0,0,9.0,6.5,71.0,17.5,1
866,3,1,13,1,11,0,0,9.0,6.0,68.5,18.0,2
1019,3,1,13,1,12,0,0,9.5,6.5,64.0,20.5,7
719,3,1,13,1,13,0,0,9.0,5.5,73.5,27.5,7
811,3,1,13,1,14,0,0,8.5,4.5,71.0,29.0,7
883,3,1,13,1,15,0,0,8.0,4.5,73.5,21.5,2
1391,3,1,13,1,16,0,0,7.5,4.0,68.5,23.0,2
2886,3,1,13,1,17,0,0,7.0,3.0,71.0,22.0,2
2659,3,1,13,1,18,0,0,7.0,4.5,71.0,14.0,7
1548,3,1,13,1,19,0,0,6.0,2.5,76.0,19.5,7
947,3,1,13,1,20,0,0,5.5,1.5,76.0,21.0,2
660,3,1,13,1,21,0,0,5.0,1.0,76.0,23.0,2
501,3,1,13,1,22,0,0,5.0,2.0,76.0,17.0,1
340,3,1,13,1,23,0,0,5.0,1.0,70.0,19.5,1
168,3,1,14,2,0,0,0,5.0,0.5,66.0,26.0,1
79,3,1,14,2,1,0,0,5.0,0.0,66.0,30.0,1
60,3,1,14,2,2,0,0,5.0,0.5,66.0,24.0,1
54,3,1,14,2,3,0,0,4.5,0.5,72.5,21.0,1
44,3,1,14,2,4,0,0,4.5,1.5,72.5,14.0,1
93,3,1,14,2,5,0,0,5.0,1.5,70.0,17.5,1
560,3,1,14,2,6,0,0,5.0,1.0,70.0,23.0,3
1820,3,1,14,2,7,0,0,4.5,-1.0,68.0,30.5,2
3904,3,1,14,2,8,0,0,4.0,-1.0,70.0,26.0,2
2064,3,1,14,2,9,0,0,4.5,-0.5,68.0,29.0,2
841,3,1,14,2,10,0,0,5.0,0.0,70.0,30.5,2
732,3,1,14,2,11,0,0,5.5,1.0,65.5,27.0,2
1013,3,1,14,2,12,0,0,6.5,2.5,59.0,27.0,2
1066,3,1,14,2,13,0,0,7.0,3.0,57.0,24.0,2
913,3,1,14,2,14,0,0,7.0,3.5,55.0,22.0,2
969,3,1,14,2,15,0,0,7.0,4.0,55.0,18.0,1
1365,3,1,14,2,16,0,0,7.0,4.5,59.0,16.0,1
2638,3,1,14,2,17,0,0,7.5,4.5,64.0,16.0,2
1974,3,1,14,2,18,0,0,8.0,4.5,71.0,21.5,2
1254,3,1,14,2,19,0,0,9.0,5.5,71.0,27.0,3
885,3,1,14,2,20,0,0,10.0,6.0,69.0,31.0,3
537,3,1,14,2,21,0,0,10.0,6.0,71.0,38.0,7
344,3,1,14,2,22,0,0,9.5,5.5,76.5,39.0,7
188,3,1,14,2,23,0,0,10.0,6.0,79.0,40.0,26
91,3,1,15,3,0,0,0,10.0,6.0,82.0,40.0,7
66,3,1,15,3,1,0,0,11.0,11.0,79.5,40.0,26
25,3,1,15,3,2,0,0,11.0,11.0,82.0,44.5,26
23,3,1,15,3,3,0,0,11.5,11.5,79.5,45.0,7
23,3,1,15,3,4,0,0,11.0,11.0,77.0,37.0,26
62,3,1,15,3,5,0,0,10.0,6.5,79.0,31.5,7
481,3,1,15,3,6,0,0,9.5,5.5,73.5,29.5,7
1692,3,1,15,3,7,0,0,9.0,6.0,73.5,23.0,2
3673,3,1,15,3,8,0,0,9.0,6.0,66.0,21.0,1
1941,3,1,15,3,9,0,0,9.0,6.0,73.5,19.5,2
844,3,1,15,3,10,0,0,9.0,6.0,76.0,21.0,2
729,3,1,15,3,11,0,0,9.0,6.0,66.0,26.0,2
835,3,1,15,3,12,0,0,8.5,5.0,71.0,25.0,7
1005,3,1,15,3,13,0,0,9.0,5.0,64.0,32.5,2
828,3,1,15,3,14,0,0,9.0,5.0,60.0,30.5,2
912,3,1,15,3,15,0,0,9.0,5.0,52.0,36.0,2
1249,3,1,15,3,16,0,0,8.0,4.0,53.0,29.0,2
2524,3,1,15,3,17,0,0,7.5,3.5,55.0,29.5,2
2480,3,1,15,3,18,0,0,7.0,3.0,57.0,29.5,2
1353,3,1,15,3,19,0,0,8.0,4.0,51.5,29.5,2
810,3,1,15,3,20,0,0,7.0,2.0,51.0,34.0,2
591,3,1,15,3,21,0,0,6.5,1.5,57.0,32.0,1
430,3,1,15,3,22,0,0,6.5,1.5,59.0,33.0,2
301,3,1,15,3,23,0,0,7.0,3.0,57.0,29.5,1
208,3,1,16,4,0,0,0,7.0,3.0,53.0,31.0,1
117,3,1,16,4,1,0,0,7.0,3.0,53.0,27.5,1
71,3,1,16,4,2,0,0,6.5,2.5,59.0,22.0,1
59,3,1,16,4,3,0,0,6.5,2.5,59.0,25.0,1
46,3,1,16,4,4,0,0,6.5,3.0,55.0,20.5,1
88,3,1,16,4,5,0,0,6.5,3.0,55.0,20.5,1
471,3,1,16,4,6,0,0,7.0,4.0,55.0,18.5,1
1648,3,1,16,4,7,0,0,7.0,4.5,59.0,15.0,7
3546,3,1,16,4,8,0,0,7.0,4.5,61.0,15.0,3
1980,3,1,16,4,9,0,0,6.0,3.0,71.0,13.0,2
878,3,1,16,4,10,0,0,6.5,3.5,68.5,17.0,2
795,3,1,16,4,11,0,0,6.0,2.5,76.0,19.5,2
994,3,1,16,4,12,0,0,6.0,3.0,73.5,17.0,2
1122,3,1,16,4,13,0,0,7.0,4.0,68.5,15.0,2
941,3,1,16,4,14,0,0,7.0,4.5,66.0,15.0,2
1104,3,1,16,4,15,0,0,7.0,4.0,66.0,15.0,2
1149,3,1,16,4,16,0,0,6.0,2.0,68.5,23.5,7
2348,3,1,16,4,17,0,0,5.5,2.5,76.0,14.0,2
2002,3,1,16,4,18,0,0,5.0,1.5,73.0,16.0,3
1183,3,1,16,4,19,0,0,4.0,1.0,72.5,12.0,1
693,3,1,16,4,20,0,0,4.0,2.0,72.5,9.0,1
473,3,1,16,4,21,0,0,3.0,0.0,75.0,11.0,1
386,3,1,16,4,22,0,0,2.5,-1.5,72.5,15.0,1
361,3,1,16,4,23,0,0,2.5,-1.0,81.0,12.0,1
328,3,1,17,5,0,0,1,2.0,-2.0,81.0,13.0,1
220,3,1,17,5,1,0,1,2.0,-1.5,81.0,12.0,1
199,3,1,17,5,2,0,1,1.0,-3.0,81.0,14.0,1
144,3,1,17,5,3,0,1,1.0,-3.0,81.0,15.0,1
76,3,1,17,5,4,0,1,1.0,-2.0,81.0,10.0,1
68,3,1,17,5,5,0,1,0.5,-2.5,77.5,8.0,1
70,3,1,17,5,6,0,1,0.5,-3.0,77.5,10.0,1
154,3,1,17,5,7,0,1,1.5,-2.5,72.5,16.0,1
350,3,1,17,5,8,0,1,2.5,-1.5,67.5,15.0,1
682,3,1,17,5,9,0,1,3.5,-0.5,65.0,16.0,1
784,3,1,17,5,10,0,1,4.0,0.0,70.0,21.0,7
998,3,1,17,5,11,0,1,5.0,1.5,73.0,18.5,7
1360,3,1,17,5,12,0,1,6.5,3.5,73.5,17.0,2
1421,3,1,17,5,13,0,1,6.0,2.5,73.5,20.5,2
1531,3,1,17,5,14,0,1,7.0,4.0,66.0,17.0,2
1527,3,1,17,5,15,0,1,6.0,3.0,71.0,18.0,1
1257,3,1,17,5,16,0,1,6.0,3.0,71.0,15.0,1
997,3,1,17,5,17,0,1,5.0,2.5,76.0,10.0,1
765,3,1,17,5,18,0,1,5.0,2.0,76.0,13.0,1
719,3,1,17,5,19,0,1,5.0,2.0,76.0,12.0,1
525,3,1,17,5,20,0,1,5.0,3.0,81.0,9.0,1
415,3,1,17,5,21,0,1,5.0,2.5,76.0,10.0,1
328,3,1,17,5,22,0,1,5.0,3.0,76.0,7.0,2
350,3,1,17,5,23,0,1,5.0,2.5,78.5,9.0,7
383,3,1,18,6,0,0,1,5.0,3.0,76.0,7.0,2
268,3,1,18,6,1,0,1,5.0,3.5,76.0,6.5,7
268,3,1,18,6,2,0,1,5.0,3.0,81.0,8.0,7
140,3,1,18,6,3,0,1,4.5,3.0,84.0,6.5,7
73,3,1,18,6,4,0,1,4.0,4.0,87.0,0.0,7
53,3,1,18,6,5,0,1,4.0,3.5,90.0,5.0,7
54,3,1,18,6,6,0,1,4.0,3.5,90.0,5.0,7
97,3,1,18,6,7,0,1,4.0,3.5,87.0,5.0,7
210,3,1,18,6,8,0,1,4.0,3.5,93.0,5.0,2
406,3,1,18,6,9,0,1,4.0,2.5,90.0,6.5,7
693,3,1,18,6,10,0,1,4.0,2.0,87.0,9.0,7
906,3,1,18,6,11,0,1,4.0,1.5,84.0,9.0,4
1244,3,1,18,6,12,0,1,4.0,1.0,81.0,12.0,2
1401,3,1,18,6,13,0,1,4.0,1.0,81.0,12.0,2
1313,3,1,18,6,14,0,1,4.0,1.0,75.0,14.0,2
1450,3,1,18,6,15,0,1,4.0,1.0,75.0,13.0,2
1111,3,1,18,6,16,0,1,3.0,2.0,81.0,6.0,2
844,3,1,18,6,17,0,1,3.0,3.0,81.0,4.0,1
694,3,1,18,6,18,0,1,2.0,0.0,87.0,6.5,1
510,3,1,18,6,19,0,1,2.0,-0.5,87.0,8.0,1
370,3,1,18,6,20,0,1,1.5,0.5,87.0,5.5,1
265,3,1,18,6,21,0,1,1.0,1.0,87.0,4.0,1
249,3,1,18,6,22,0,1,1.0,1.0,87.0,4.0,1
197,3,1,18,6,23,0,1,0.5,-1.5,90.0,6.0,1
128,3,1,19,0,0,0,0,0.0,-3.0,93.0,8.0,1
57,3,1,19,0,1,0,0,0.5,-2.5,93.0,8.0,2
30,3,1,19,0,2,0,0,1.0,0.0,93.0,5.5,2
32,3,1,19,0,3,0,0,0.5,-0.5,93.0,3.5,2
36,3,1,19,0,4,0,0,0.5,-1.0,93.0,4.5,3
88,3,1,19,0,5,0,0,1.0,-1.0,93.0,6.5,3
472,3,1,19,0,6,0,0,1.0,-1.0,90.0,7.0,3
1695,3,1,19,0,7,0,0,1.0,-1.0,90.0,6.5,2
3554,3,1,19,0,8,0,0,2.0,-0.5,84.0,7.5,3
1828,3,1,19,0,9,0,0,2.0,-0.5,87.0,8.0,3
794,3,1,19,0,10,0,0,3.0,1.0,75.0,7.5,2
688,3,1,19,0,11,0,0,3.5,3.0,72.5,3.0,2
923,3,1,19,0,12,0,0,4.0,1.5,70.0,9.0,2
913,3,1,19,0,13,0,0,4.0,2.0,70.0,8.0,2
815,3,1,19,0,14,0,0,5.0,3.5,66.0,7.5,3
908,3,1,19,0,15,0,0,5.0,4.0,63.5,6.0,3
1257,3,1,19,0,16,0,0,4.0,2.5,67.5,6.5,3
2774,3,1,19,0,17,0,0,3.5,2.5,72.5,6.0,2
2543,3,1,19,0,18,0,0,3.5,2.5,72.5,6.0,3
1442,3,1,19,0,19,0,0,3.5,1.5,72.5,7.0,3
893,3,1,19,0,20,0,0,3.0,1.5,75.0,6.5,3
561,3,1,19,0,21,0,0,2.5,1.5,78.0,5.5,3
356,3,1,19,0,22,0,0,2.0,1.0,75.0,3.0,2
247,3,1,19,0,23,0,0,2.0,2.0,81.0,2.0,3
85,3,1,20,1,0,0,0,1.0,0.0,87.0,3.0,3
49,3,1,20,1,1,0,0,0.5,-1.0,90.0,6.5,1
40,3,1,20,1,2,0,0,0.0,-1.0,93.0,3.0,1
18,3,1,20,1,3,0,0,-0.5,-0.5,90.0,4.0,1
32,3,1,20,1,4,0,0,-1.0,-2.0,93.0,3.0,1
80,3,1,20,1,5,0,0,-0.5,-0.5,93.0,4.0,2
520,3,1,20,1,6,0,0,-1.0,-2.0,93.0,5.0,1
1791,3,1,20,1,7,0,0,-1.0,-3.5,96.5,6.5,1
3700,3,1,20,1,8,0,0,-0.5,-3.5,96.5,7.0,1
1818,3,1,20,1,9,0,0,0.0,-3.0,93.0,9.0,1
806,3,1,20,1,10,0,0,1.0,0.0,87.0,5.0,2
636,3,1,20,1,11,0,0,2.5,1.0,78.0,6.0,2
894,3,1,20,1,12,0,0,3.5,1.0,78.0,9.0,1
966,3,1,20,1,13,0,0,4.5,2.0,72.5,9.0,2
806,3,1,20,1,14,0,0,5.0,2.0,68.0,11.0,2
897,3,1,20,1,15,0,0,4.0,1.0,75.0,13.0,2
1287,3,1,20,1,16,0,0,4.0,1.0,78.0,13.0,3
2683,3,1,20,1,17,0,0,4.0,1.0,78.0,12.0,1
2624,3,1,20,1,18,0,0,4.0,1.0,75.0,12.0,1
